date,day_type,holiday_type,holiday_name
2015-09-21,laborable,,
2015-09-22,laborable,,
2015-09-23,laborable,,
2015-09-24,laborable,,
2015-09-25,laborable,,
2015-09-26,sábado,,
2015-09-27,domingo,,
2015-09-28,laborable,,
2015-09-29,laborable,,
2015-09-30,laborable,,
2015-10-01,laborable,,
2015-10-02,laborable,,
2015-10-03,sábado,,
2015-10-04,domingo,,
2015-10-05,laborable,,
2015-10-06,laborable,,
2015-10-07,laborable,,
2015-10-08,laborable,,
2015-10-09,laborable,,
2015-10-10,sábado,,
2015-10-11,domingo,,
2015-10-12,festivo,Festivo nacional,Fiesta Nacional de España
2015-10-13,laborable,,
2015-10-14,laborable,,
2015-10-15,laborable,,
2015-10-16,laborable,,
2015-10-17,sábado,,
2015-10-18,domingo,,
2015-10-19,laborable,,
2015-10-20,laborable,,
2015-10-21,laborable,,
2015-10-22,laborable,,
2015-10-23,laborable,,
2015-10-24,sábado,,
2015-10-25,domingo,,
2015-10-26,laborable,,
2015-10-27,laborable,,
2015-10-28,laborable,,
2015-10-29,laborable,,
2015-10-30,laborable,,
2015-10-31,sábado,,
2015-11-01,festivo,Festivo nacional,Todos los Santos
2015-11-02,laborable,,
2015-11-03,laborable,,
2015-11-04,laborable,,
2015-11-05,laborable,,
2015-11-06,laborable,,
2015-11-07,sábado,,
2015-11-08,domingo,,
2015-11-09,festivo,Festivo local de la ciudad de Madrid,Ntra. Sra. de la Almudena. Patrona de la ciudad
2015-11-10,laborable,,
2015-11-11,laborable,,
2015-11-12,laborable,,
2015-11-13,laborable,,
2015-11-14,sábado,,
2015-11-15,domingo,,
2015-11-16,laborable,,
2015-11-17,laborable,,
2015-11-18,laborable,,
2015-11-19,laborable,,
2015-11-20,laborable,,
2015-11-21,sábado,,
2015-11-22,domingo,,
2015-11-23,laborable,,
2015-11-24,laborable,,
2015-11-25,laborable,,
2015-11-26,laborable,,
2015-11-27,laborable,,
2015-11-28,sábado,,
2015-11-29,domingo,,
2015-11-30,laborable,,
2015-12-01,laborable,,
2015-12-02,laborable,,
2015-12-03,laborable,,
2015-12-04,laborable,,
2015-12-05,sábado,,
2015-12-06,festivo,Festivo nacional,Día de la Constitución
2015-12-07,laborable,,
2015-12-08,festivo,Festivo nacional,Inmaculada Concepción
2015-12-09,laborable,,
2015-12-10,laborable,,
2015-12-11,laborable,,
2015-12-12,sábado,,
2015-12-13,domingo,,
2015-12-14,laborable,,
2015-12-15,laborable,,
2015-12-16,laborable,,
2015-12-17,laborable,,
2015-12-18,laborable,,
2015-12-19,sábado,,
2015-12-20,domingo,,
2015-12-21,laborable,,
2015-12-22,laborable,,
2015-12-23,laborable,,
2015-12-24,laborable,,
2015-12-25,festivo,Festivo nacional,Natividad del Señor
2015-12-26,sábado,,
2015-12-27,domingo,,
2015-12-28,laborable,,
2015-12-29,laborable,,
2015-12-30,laborable,,
2015-12-31,laborable,,
2016-01-01,festivo,Festivo nacional,Año Nuevo
2016-01-02,sábado,,
2016-01-03,domingo,,
2016-01-04,laborable,,
2016-01-05,laborable,,
2016-01-06,festivo,Festivo nacional,Epifania del Señor
2016-01-07,laborable,,
2016-01-08,laborable,,
2016-01-09,sábado,,
2016-01-10,domingo,,
2016-01-11,laborable,,
2016-01-12,laborable,,
2016-01-13,laborable,,
2016-01-14,laborable,,
2016-01-15,laborable,,
2016-01-16,sábado,,
2016-01-17,domingo,,
2016-01-18,laborable,,
2016-01-19,laborable,,
2016-01-20,laborable,,
2016-01-21,laborable,,
2016-01-22,laborable,,
2016-01-23,sábado,,
2016-01-24,domingo,,
2016-01-25,laborable,,
2016-01-26,laborable,,
2016-01-27,laborable,,
2016-01-28,laborable,,
2016-01-29,laborable,,
2016-01-30,sábado,,
2016-01-31,domingo,,
2016-02-01,laborable,,
2016-02-02,laborable,,
2016-02-03,laborable,,
2016-02-04,laborable,,
2016-02-05,laborable,,
2016-02-06,sábado,,
2016-02-07,domingo,,
2016-02-08,laborable,,
2016-02-09,laborable,,
2016-02-10,laborable,,
2016-02-11,laborable,,
2016-02-12,laborable,,
2016-02-13,sábado,,
2016-02-14,domingo,,
2016-02-15,laborable,,
2016-02-16,laborable,,
2016-02-17,laborable,,
2016-02-18,laborable,,
2016-02-19,laborable,,
2016-02-20,sábado,,
2016-02-21,domingo,,
2016-02-22,laborable,,
2016-02-23,laborable,,
2016-02-24,laborable,,
2016-02-25,laborable,,
2016-02-26,laborable,,
2016-02-27,sábado,,
2016-02-28,domingo,,
2016-02-29,laborable,,
2016-03-01,laborable,,
2016-03-02,laborable,,
2016-03-03,laborable,,
2016-03-04,laborable,,
2016-03-05,sábado,,
2016-03-06,domingo,,
2016-03-07,laborable,,
2016-03-08,laborable,,
2016-03-09,laborable,,
2016-03-10,laborable,,
2016-03-11,laborable,,
2016-03-12,sábado,,
2016-03-13,domingo,,
2016-03-14,laborable,,
2016-03-15,laborable,,
2016-03-16,laborable,,
2016-03-17,laborable,,
2016-03-18,laborable,,
2016-03-19,sábado,,
2016-03-20,domingo,,
2016-03-21,laborable,,
2016-03-22,laborable,,
2016-03-23,laborable,,
2016-03-24,festivo,Festivo de la comunidad de Madrid,Jueves Santo
2016-03-25,festivo,Festivo nacional,Viernes Santo
2016-03-26,sábado,,
2016-03-27,domingo,,
2016-03-28,laborable,,
2016-03-29,laborable,,
2016-03-30,laborable,,
2016-03-31,laborable,,
2016-04-01,laborable,,
2016-04-02,sábado,,
2016-04-03,domingo,,
2016-04-04,laborable,,
2016-04-05,laborable,,
2016-04-06,laborable,,
2016-04-07,laborable,,
2016-04-08,laborable,,
2016-04-09,sábado,,
2016-04-10,domingo,,
2016-04-11,laborable,,
2016-04-12,laborable,,
2016-04-13,laborable,,
2016-04-14,laborable,,
2016-04-15,laborable,,
2016-04-16,sábado,,
2016-04-17,domingo,,
2016-04-18,laborable,,
2016-04-19,laborable,,
2016-04-20,laborable,,
2016-04-21,laborable,,
2016-04-22,laborable,,
2016-04-23,sábado,,
2016-04-24,domingo,,
2016-04-25,laborable,,
2016-04-26,laborable,,
2016-04-27,laborable,,
2016-04-28,laborable,,
2016-04-29,laborable,,
2016-04-30,sábado,,
2016-05-01,festivo,Festivo nacional,Fiesta del Trabajo
2016-05-02,festivo,Festivo de la Comunidad de Madrid,Dos de Mayo. Fiesta de la Comunidad de Madrid
2016-05-03,laborable,,
2016-05-04,laborable,,
2016-05-05,laborable,,
2016-05-06,laborable,,
2016-05-07,sábado,,
2016-05-08,domingo,,
2016-05-09,laborable,,
2016-05-10,laborable,,
2016-05-11,laborable,,
2016-05-12,laborable,,
2016-05-13,laborable,,
2016-05-14,sábado,,
2016-05-15,domingo,,
2016-05-16,festivo,Festivo local de la ciudad de Madrid,Traslado San Isidro Labrador
2016-05-17,laborable,,
2016-05-18,laborable,,
2016-05-19,laborable,,
2016-05-20,laborable,,
2016-05-21,sábado,,
2016-05-22,domingo,,
2016-05-23,laborable,,
2016-05-24,laborable,,
2016-05-25,laborable,,
2016-05-26,laborable,,
2016-05-27,laborable,,
2016-05-28,sábado,,
2016-05-29,domingo,,
2016-05-30,laborable,,
2016-05-31,laborable,,
2016-06-01,laborable,,
2016-06-02,laborable,,
2016-06-03,laborable,,
2016-06-04,sábado,,
2016-06-05,domingo,,
2016-06-06,laborable,,
2016-06-07,laborable,,
2016-06-08,laborable,,
2016-06-09,laborable,,
2016-06-10,laborable,,
2016-06-11,sábado,,
2016-06-12,domingo,,
2016-06-13,laborable,,
2016-06-14,laborable,,
2016-06-15,laborable,,
2016-06-16,laborable,,
2016-06-17,laborable,,
2016-06-18,sábado,,
2016-06-19,domingo,,
2016-06-20,laborable,,
2016-06-21,laborable,,
2016-06-22,laborable,,
2016-06-23,laborable,,
2016-06-24,laborable,,
2016-06-25,sábado,,
2016-06-26,domingo,,
2016-06-27,laborable,,
2016-06-28,laborable,,
2016-06-29,laborable,,
2016-06-30,laborable,,
2016-07-01,laborable,,
2016-07-02,sábado,,
2016-07-03,domingo,,
2016-07-04,laborable,,
2016-07-05,laborable,,
2016-07-06,laborable,,
2016-07-07,laborable,,
2016-07-08,laborable,,
2016-07-09,sábado,,
2016-07-10,domingo,,
2016-07-11,laborable,,
2016-07-12,laborable,,
2016-07-13,laborable,,
2016-07-14,laborable,,
2016-07-15,laborable,,
2016-07-16,sábado,,
2016-07-17,domingo,,
2016-07-18,laborable,,
2016-07-19,laborable,,
2016-07-20,laborable,,
2016-07-21,laborable,,
2016-07-22,laborable,,
2016-07-23,sábado,,
2016-07-24,domingo,,
2016-07-25,festivo,Festivo de la Comunidad de Madrid,Santiago Apostol
2016-07-26,laborable,,
2016-07-27,laborable,,
2016-07-28,laborable,,
2016-07-29,laborable,,
2016-07-30,sábado,,
2016-07-31,domingo,,
2016-08-01,laborable,,
2016-08-02,laborable,,
2016-08-03,laborable,,
2016-08-04,laborable,,
2016-08-05,laborable,,
2016-08-06,sábado,,
2016-08-07,domingo,,
2016-08-08,laborable,,
2016-08-09,laborable,,
2016-08-10,laborable,,
2016-08-11,laborable,,
2016-08-12,laborable,,
2016-08-13,sábado,,
2016-08-14,domingo,,
2016-08-15,festivo,Festivo nacional,Asuncion de la Virgen
2016-08-16,laborable,,
2016-08-17,laborable,,
2016-08-18,laborable,,
2016-08-19,laborable,,
2016-08-20,sábado,,
2016-08-21,domingo,,
2016-08-22,laborable,,
2016-08-23,laborable,,
2016-08-24,laborable,,
2016-08-25,laborable,,
2016-08-26,laborable,,
2016-08-27,sábado,,
2016-08-28,domingo,,
2016-08-29,laborable,,
2016-08-30,laborable,,
2016-08-31,laborable,,
2016-09-01,laborable,,
2016-09-02,laborable,,
2016-09-03,sábado,,
2016-09-04,domingo,,
2016-09-05,laborable,,
2016-09-06,laborable,,
2016-09-07,laborable,,
2016-09-08,laborable,,
2016-09-09,laborable,,
2016-09-10,sábado,,
2016-09-11,domingo,,
2016-09-12,laborable,,
2016-09-13,laborable,,
2016-09-14,laborable,,
2016-09-15,laborable,,
2016-09-16,laborable,,
2016-09-17,sábado,,
2016-09-18,domingo,,
2016-09-19,laborable,,
2016-09-20,laborable,,
2016-09-21,laborable,,
2016-09-22,laborable,,
2016-09-23,laborable,,
2016-09-24,sábado,,
2016-09-25,domingo,,
2016-09-26,laborable,,
2016-09-27,laborable,,
2016-09-28,laborable,,
2016-09-29,laborable,,
2016-09-30,laborable,,
2016-10-01,sábado,,
2016-10-02,domingo,,
2016-10-03,laborable,,
2016-10-04,laborable,,
2016-10-05,laborable,,
2016-10-06,laborable,,
2016-10-07,laborable,,
2016-10-08,sábado,,
2016-10-09,domingo,,
2016-10-10,laborable,,
2016-10-11,laborable,,
2016-10-12,festivo,Festivo nacional,Fiesta Nacional de España
2016-10-13,laborable,,
2016-10-14,laborable,,
2016-10-15,sábado,,
2016-10-16,domingo,,
2016-10-17,laborable,,
2016-10-18,laborable,,
2016-10-19,laborable,,
2016-10-20,laborable,,
2016-10-21,laborable,,
2016-10-22,sábado,,
2016-10-23,domingo,,
2016-10-24,laborable,,
2016-10-25,laborable,,
2016-10-26,laborable,,
2016-10-27,laborable,,
2016-10-28,laborable,,
2016-10-29,sábado,,
2016-10-30,domingo,,
2016-10-31,laborable,,
2016-11-01,festivo,Festivo nacional,Todos los Santos
2016-11-02,laborable,,
2016-11-03,laborable,,
2016-11-04,laborable,,
2016-11-05,sábado,,
2016-11-06,domingo,,
2016-11-07,laborable,,
2016-11-08,laborable,,
2016-11-09,festivo,Festivo local de la ciudad de Madrid,Ntra. Sra. de la Almudena. Patrona de la ciudad
2016-11-10,laborable,,
2016-11-11,laborable,,
2016-11-12,sábado,,
2016-11-13,domingo,,
2016-11-14,laborable,,
2016-11-15,laborable,,
2016-11-16,laborable,,
2016-11-17,laborable,,
2016-11-18,laborable,,
2016-11-19,sábado,,
2016-11-20,domingo,,
2016-11-21,laborable,,
2016-11-22,laborable,,
2016-11-23,laborable,,
2016-11-24,laborable,,
2016-11-25,laborable,,
2016-11-26,sábado,,
2016-11-27,domingo,,
2016-11-28,laborable,,
2016-11-29,laborable,,
2016-11-30,laborable,,
2016-12-01,laborable,,
2016-12-02,laborable,,
2016-12-03,sábado,,
2016-12-04,domingo,,
2016-12-05,laborable,,
2016-12-06,festivo,Festivo nacional,Día de la Constitución
2016-12-07,laborable,,
2016-12-08,festivo,Festivo nacional,Inmaculada Concepción
2016-12-09,laborable,,
2016-12-10,sábado,,
2016-12-11,domingo,,
2016-12-12,laborable,,
2016-12-13,laborable,,
2016-12-14,laborable,,
2016-12-15,laborable,,
2016-12-16,laborable,,
2016-12-17,sábado,,
2016-12-18,domingo,,
2016-12-19,laborable,,
2016-12-20,laborable,,
2016-12-21,laborable,,
2016-12-22,laborable,,
2016-12-23,laborable,,
2016-12-24,sábado,,
2016-12-25,domingo,,
2016-12-26,festivo,Festivo nacional,Traslado Natividad del Señor
2016-12-27,laborable,,
2016-12-28,laborable,,
2016-12-29,laborable,,
2016-12-30,laborable,,
