date,average_temp,total_precip_mm,did_rain,did_snow
2015-09-21,20.9,0.0,0,0
2015-09-22,20.4,0.0,0,0
2015-09-23,19.0,0.0,0,0
2015-09-24,19.9,0.0,0,0
2015-09-25,21.4,0.0,0,0
2015-09-26,20.8,0.0,0,0
2015-09-27,21.2,0.0,1,0
2015-09-28,18.4,0.0,0,0
2015-09-29,18.1,0.0,0,0
2015-09-30,18.4,0.0,0,0
2015-10-01,18.4,0.0,0,0
2015-10-02,19.6,0.0,0,0
2015-10-03,19.8,0.0,0,0
2015-10-04,18.7,1.02,1,0
2015-10-05,20.8,2.54,1,0
2015-10-06,18.2,19.81,1,0
2015-10-07,15.9,0.0,0,0
2015-10-08,15.6,0.0,0,0
2015-10-09,14.9,0.0,0,0
2015-10-10,15.7,0.0,0,0
2015-10-11,17.2,1.78,1,0
2015-10-12,17.9,0.0,0,0
2015-10-13,13.3,0.0,1,0
2015-10-14,11.6,1.52,1,0
2015-10-15,11.8,0.0,0,0
2015-10-16,12.4,0.0,0,0
2015-10-17,15.5,0.0,1,0
2015-10-18,15.9,9.91,1,0
2015-10-19,16.6,17.02,1,0
2015-10-20,15.7,0.0,0,0
2015-10-21,12.1,0.0,0,0
2015-10-22,12.5,0.0,0,0
2015-10-23,13.7,0.0,0,0
2015-10-24,15.2,0.0,0,0
2015-10-25,15.9,0.0,0,0
2015-10-26,15.2,0.0,1,0
2015-10-27,14.4,0.51,1,0
2015-10-28,12.8,3.3,1,0
2015-10-29,14.1,0.0,0,0
2015-10-30,14.9,0.0,0,0
2015-10-31,15.8,0.0,0,0
2015-11-01,16.4,0.0,0,0
2015-11-02,12.9,12.95,1,0
2015-11-03,12.3,15.49,1,0
2015-11-04,12.9,0.51,1,0
2015-11-05,14.6,0.25,1,0
2015-11-06,14.6,0.0,0,0
2015-11-07,15.2,0.0,0,0
2015-11-08,15.1,0.0,0,0
2015-11-09,13.4,0.0,0,0
2015-11-10,12.9,0.0,0,0
2015-11-11,11.6,0.0,0,0
2015-11-12,11.4,0.0,0,0
2015-11-13,11.6,0.0,0,0
2015-11-14,12.0,0.0,0,0
2015-11-15,10.5,0.0,0,0
2015-11-16,9.6,0.0,0,0
2015-11-17,9.2,0.0,0,0
2015-11-18,10.4,0.0,0,0
2015-11-19,11.6,0.0,0,0
2015-11-20,12.7,0.0,0,0
2015-11-21,11.7,0.0,0,0
2015-11-22,5.9,0.0,0,0
2015-11-23,5.4,0.0,0,0
2015-11-24,4.9,0.0,0,0
2015-11-25,10.1,0.0,0,0
2015-11-26,10.6,0.0,0,0
2015-11-27,12.7,0.0,0,0
2015-11-28,8.6,0.0,0,0
2015-11-29,4.8,0.0,0,0
2015-11-30,4.5,0.0,0,0
2015-12-01,4.6,0.0,0,0
2015-12-02,5.4,0.0,0,0
2015-12-03,6.4,0.0,0,0
2015-12-04,7.7,0.0,0,0
2015-12-05,8.9,0.0,0,0
2015-12-06,7.6,0.0,0,0
2015-12-07,6.7,0.0,0,0
2015-12-08,8.8,0.0,0,0
2015-12-09,8.3,0.0,0,0
2015-12-10,8.2,0.0,0,0
2015-12-11,9.0,0.0,0,0
2015-12-12,9.6,0.0,0,0
2015-12-13,7.5,0.0,0,0
2015-12-14,10.2,0.25,1,0
2015-12-15,10.3,0.51,1,0
2015-12-16,7.7,0.0,0,0
2015-12-17,7.4,0.0,0,0
2015-12-18,7.7,0.0,0,0
2015-12-19,7.3,0.0,0,0
2015-12-20,7.8,0.0,0,0
2015-12-21,7.6,0.0,0,0
2015-12-22,6.2,0.0,0,0
2015-12-23,6.2,0.0,0,0
2015-12-24,4.5,0.0,0,0
2015-12-25,4.4,0.0,0,0
2015-12-26,3.7,0.0,0,0
2015-12-27,5.8,0.0,0,0
2015-12-28,7.9,0.0,1,0
2015-12-29,8.4,3.3,1,0
2015-12-30,7.9,0.0,0,0
2015-12-31,8.0,0.5,1,0
2016-01-01,10.6,0.25,1,0
2016-01-02,9.1,1.78,1,0
2016-01-03,6.8,0.0,1,0
2016-01-04,12.7,0.0,1,0
2016-01-05,7.9,3.81,1,0
2016-01-06,5.7,0.0,1,0
2016-01-07,12.8,0.25,1,0
2016-01-08,12.2,0.0,1,0
2016-01-09,10.3,5.59,1,0
2016-01-10,11.1,0.0,1,0
2016-01-11,9.9,11.18,1,0
2016-01-12,7.0,1.78,1,0
2016-01-13,4.1,0.0,0,0
2016-01-14,4.7,0.0,1,0
2016-01-15,7.0,1.27,1,0
2016-01-16,4.6,0.0,0,0
2016-01-17,1.6,0.0,1,0
2016-01-18,6.5,0.0,1,0
2016-01-19,5.0,0.0,0,0
2016-01-20,4.8,0.0,0,0
2016-01-21,5.8,0.0,0,0
2016-01-22,8.3,0.0,1,0
2016-01-23,11.3,0.76,1,0
2016-01-24,10.2,0.0,0,0
2016-01-25,9.6,0.0,0,0
2016-01-26,8.9,0.0,0,0
2016-01-27,8.4,0.0,0,0
2016-01-28,8.1,0.0,1,0
2016-01-29,8.2,2.29,1,0
2016-01-30,7.8,0.0,0,0
2016-01-31,8.6,0.0,0,0
2016-02-01,8.8,0.0,0,0
2016-02-02,7.2,0.0,0,0
2016-02-03,8.8,0.0,0,0
2016-02-04,5.8,0.0,0,0
2016-02-05,4.3,0.0,0,0
2016-02-06,5.5,0.0,0,0
2016-02-07,7.9,11.43,1,0
2016-02-08,9.3,0.0,0,0
2016-02-09,11.3,0.0,1,0
2016-02-10,12.4,0.0,0,0
2016-02-11,13.4,0.0,1,0
2016-02-12,12.2,1.52,1,0
2016-02-13,13.6,5.84,1,1
2016-02-14,8.4,3.56,1,0
2016-02-15,5.4,0.76,1,0
2016-02-16,3.8,0.0,0,0
2016-02-17,2.4,0.0,1,0
2016-02-18,5.6,1.02,1,0
2016-02-19,5.2,0.0,0,0
2016-02-20,5.3,0.0,0,0
2016-02-21,6.6,0.0,0,0
2016-02-22,8.3,0.0,0,0
2016-02-23,8.3,0.0,0,0
2016-02-24,6.1,0.0,1,0
2016-02-25,8.8,1.78,1,0
2016-02-26,6.4,0.0,1,0
2016-02-27,5.7,6.35,1,0
2016-02-28,7.2,0.0,0,0
2016-02-29,7.9,0.0,0,0
2016-03-01,7.6,0.0,0,0
2016-03-02,9.3,0.0,0,0
2016-03-03,9.2,0.0,0,0
2016-03-04,8.3,0.0,1,0
2016-03-05,6.9,2.29,1,0
2016-03-06,6.6,0.0,0,0
2016-03-07,7.4,1.52,1,0
2016-03-08,6.9,2.79,1,0
2016-03-09,5.3,0.0,0,0
2016-03-10,7.0,0.0,0,0
2016-03-11,8.1,0.0,0,0
2016-03-12,6.4,0.0,0,0
2016-03-13,8.0,0.0,0,0
2016-03-14,7.2,0.0,0,0
2016-03-15,7.2,0.0,0,0
2016-03-16,7.6,0.0,0,0
2016-03-17,9.2,0.0,0,0
2016-03-18,8.4,0.0,1,0
2016-03-19,9.8,16.76,1,0
2016-03-20,8.3,1.02,1,0
2016-03-21,9.1,0.51,1,0
2016-03-22,10.0,31.24,1,0
2016-03-23,8.4,0.0,0,0
2016-03-24,9.9,0.0,0,0
2016-03-25,10.2,0.0,1,0
2016-03-26,10.3,0.0,0,0
2016-03-27,12.1,0.51,1,0
2016-03-28,11.1,0.0,1,0
2016-03-29,13.6,0.0,0,0
2016-03-30,13.9,0.0,0,0
2016-03-31,9.2,0.76,1,0
2016-04-01,8.2,0.0,0,0
2016-04-02,9.3,0.0,0,0
2016-04-03,10.8,0.0,1,0
2016-04-04,8.4,7.11,1,0
2016-04-05,10.9,17.78,1,0
2016-04-06,11.9,0.0,0,0
2016-04-07,12.3,0.0,0,0
2016-04-08,9.4,0.0,0,0
2016-04-09,10.9,0.0,0,0
2016-04-10,10.4,0.0,1,0
2016-04-11,8.9,1.52,1,0
2016-04-12,9.8,6.1,1,0
2016-04-13,11.5,8.38,1,0
2016-04-14,13.3,0.0,0,0
2016-04-15,13.3,0.0,1,0
2016-04-16,12.9,1.52,1,0
2016-04-17,12.6,12.45,1,0
2016-04-18,13.7,0.0,0,0
2016-04-19,12.4,0.0,1,0
2016-04-20,10.9,30.23,1,0
2016-04-21,12.9,2.54,1,0
2016-04-22,12.0,1.27,1,0
2016-04-23,11.9,3.3,1,0
2016-04-24,12.3,0.0,0,0
2016-04-25,12.6,0.0,0,0
2016-04-26,14.6,0.0,0,0
2016-04-27,14.6,0.0,0,0
2016-04-28,13.9,1.02,1,0
2016-04-29,13.8,1.27,1,0
2016-04-30,13.2,24.89,1,0
2016-05-01,10.9,0.0,0,0
2016-05-02,13.5,0.0,0,0
2016-05-03,17.4,0.0,0,0
2016-05-04,18.1,0.0,0,0
2016-05-05,15.6,0.0,1,0
2016-05-06,13.4,1.52,1,0
2016-05-07,14.2,18.8,1,0
2016-05-08,12.1,6.6,1,0
2016-05-09,11.7,14.48,1,0
2016-05-10,11.3,8.64,1,0
2016-05-11,11.3,6.35,1,0
2016-05-12,12.4,5.08,1,0
2016-05-13,12.9,0.0,1,0
2016-05-14,13.9,1.52,1,0
2016-05-15,16.7,0.0,0,0
2016-05-16,16.2,0.0,0,0
2016-05-17,17.6,0.0,0,0
2016-05-18,18.8,0.0,0,0
2016-05-19,19.2,0.0,0,0
2016-05-20,20.1,0.0,0,0
2016-05-21,20.8,0.0,0,0
2016-05-22,19.4,0.0,0,0
2016-05-23,15.4,0.0,0,0
2016-05-24,18.6,0.0,0,0
2016-05-25,17.9,0.0,0,0
2016-05-26,18.8,0.0,0,0
2016-05-27,18.8,0.0,0,0
2016-05-28,15.4,0.0,1,0
2016-05-29,15.2,5.59,1,1
2016-05-30,15.9,2.29,1,0
2016-05-31,17.0,0.0,0,0
2016-06-01,17.9,0.0,0,0
2016-06-02,19.7,0.0,0,0
2016-06-03,21.7,0.0,0,0
2016-06-04,21.3,0.0,0,0
2016-06-05,21.7,0.0,0,0
2016-06-06,22.2,0.0,0,0
