date,total_sales,day_of_week,month_name,day,year
2015-09-21,233.0,Monday,September,21,2015
2015-09-22,95.8,Tuesday,September,22,2015
2015-09-23,156.5,Wednesday,September,23,2015
2015-09-24,141.8,Thursday,September,24,2015
2015-09-25,1095.15,Friday,September,25,2015
2015-09-26,2588.05,Saturday,September,26,2015
2015-09-27,1316.9,Sunday,September,27,2015
2015-09-28,1929.0,Monday,September,28,2015
2015-09-29,578.0,Tuesday,September,29,2015
2015-09-30,552.2,Wednesday,September,30,2015
2015-10-01,429.3,Thursday,October,1,2015
2015-10-02,1955.4,Friday,October,2,2015
2015-10-03,5289.97,Saturday,October,3,2015
2015-10-04,2679.1,Sunday,October,4,2015
2015-10-05,475.5,Monday,October,5,2015
2015-10-06,63.0,Tuesday,October,6,2015
2015-10-07,507.0,Wednesday,October,7,2015
2015-10-08,1018.0,Thursday,October,8,2015
2015-10-09,1375.75,Friday,October,9,2015
2015-10-10,3765.7,Saturday,October,10,2015
2015-10-11,4826.45,Sunday,October,11,2015
2015-10-12,3071.75,Monday,October,12,2015
2015-10-13,198.5,Tuesday,October,13,2015
2015-10-14,437.0,Wednesday,October,14,2015
2015-10-15,340.75,Thursday,October,15,2015
2015-10-16,1993.45,Friday,October,16,2015
2015-10-17,5213.75,Saturday,October,17,2015
2015-10-18,3061.15,Sunday,October,18,2015
2015-10-19,20.0,Monday,October,19,2015
2015-10-20,0.0,Tuesday,October,20,2015
2015-10-21,0.0,Wednesday,October,21,2015
2015-10-22,0.0,Thursday,October,22,2015
2015-10-23,0.0,Friday,October,23,2015
2015-10-24,0.0,Saturday,October,24,2015
2015-10-25,0.0,Sunday,October,25,2015
2015-10-26,0.0,Monday,October,26,2015
2015-10-27,0.0,Tuesday,October,27,2015
2015-10-28,0.0,Wednesday,October,28,2015
2015-10-29,0.0,Thursday,October,29,2015
2015-10-30,1356.25,Friday,October,30,2015
2015-10-31,3082.25,Saturday,October,31,2015
2015-11-01,3587.55,Sunday,November,1,2015
2015-11-02,1744.3,Monday,November,2,2015
2015-11-03,178.0,Tuesday,November,3,2015
2015-11-04,652.05,Wednesday,November,4,2015
2015-11-05,432.7,Thursday,November,5,2015
2015-11-06,1622.2,Friday,November,6,2015
2015-11-07,4315.25,Saturday,November,7,2015
2015-11-08,3378.65,Sunday,November,8,2015
2015-11-09,2882.7,Monday,November,9,2015
2015-11-10,698.8,Tuesday,November,10,2015
2015-11-11,484.0,Wednesday,November,11,2015
2015-11-12,576.9,Thursday,November,12,2015
2015-11-13,2297.65,Friday,November,13,2015
2015-11-14,5035.1,Saturday,November,14,2015
2015-11-15,3199.85,Sunday,November,15,2015
2015-11-16,280.55,Monday,November,16,2015
2015-11-17,274.95,Tuesday,November,17,2015
2015-11-18,787.5,Wednesday,November,18,2015
2015-11-19,385.8,Thursday,November,19,2015
2015-11-20,2230.2,Friday,November,20,2015
2015-11-21,5216.5,Saturday,November,21,2015
2015-11-22,4096.9,Sunday,November,22,2015
2015-11-23,378.8,Monday,November,23,2015
2015-11-24,424.0,Tuesday,November,24,2015
2015-11-25,493.95,Wednesday,November,25,2015
2015-11-26,454.1,Thursday,November,26,2015
2015-11-27,2514.4,Friday,November,27,2015
2015-11-28,6076.95,Saturday,November,28,2015
2015-11-29,2861.85,Sunday,November,29,2015
2015-11-30,311.5,Monday,November,30,2015
2015-12-01,229.1,Tuesday,December,1,2015
2015-12-02,626.5,Wednesday,December,2,2015
2015-12-03,643.8,Thursday,December,3,2015
2015-12-04,2299.45,Friday,December,4,2015
2015-12-05,4740.2,Saturday,December,5,2015
2015-12-06,3802.75,Sunday,December,6,2015
2015-12-07,4413.0,Monday,December,7,2015
