date,total_sales,day_of_week
2015-09-21,233.0,Monday
2015-09-22,95.8,Tuesday
2015-09-23,156.5,Wednesday
2015-09-24,141.8,Thursday
2015-09-25,1095.15,Friday
2015-09-26,2588.05,Saturday
2015-09-27,1316.9,Sunday
2015-09-28,1929.0,Monday
2015-09-29,578.0,Tuesday
2015-09-30,552.2,Wednesday
2015-10-01,429.3,Thursday
2015-10-02,1955.4,Friday
2015-10-03,5289.97,Saturday
2015-10-04,2679.1,Sunday
2015-10-05,475.5,Monday
2015-10-06,63.0,Tuesday
2015-10-07,507.0,Wednesday
2015-10-08,1018.0,Thursday
2015-10-09,1375.75,Friday
2015-10-10,3765.7,Saturday
2015-10-11,4826.45,Sunday
2015-10-12,3071.75,Monday
2015-10-13,198.5,Tuesday
2015-10-14,437.0,Wednesday
2015-10-15,340.75,Thursday
2015-10-16,1993.45,Friday
2015-10-17,5213.75,Saturday
2015-10-18,3061.15,Sunday
2015-10-19,20.0,Monday
2015-10-20,0.0,Tuesday
2015-10-21,0.0,Wednesday
2015-10-22,0.0,Thursday
2015-10-23,0.0,Friday
2015-10-24,0.0,Saturday
2015-10-25,0.0,Sunday
2015-10-26,0.0,Monday
2015-10-27,0.0,Tuesday
2015-10-28,0.0,Wednesday
2015-10-29,0.0,Thursday
2015-10-30,1356.25,Friday
2015-10-31,3082.25,Saturday
2015-11-01,3587.55,Sunday
2015-11-02,1744.3,Monday
2015-11-03,178.0,Tuesday
2015-11-04,652.05,Wednesday
2015-11-05,432.7,Thursday
2015-11-06,1622.2,Friday
2015-11-07,4315.25,Saturday
2015-11-08,3378.65,Sunday
2015-11-09,2882.7,Monday
2015-11-10,698.8,Tuesday
2015-11-11,484.0,Wednesday
2015-11-12,576.9,Thursday
2015-11-13,2297.65,Friday
2015-11-14,5035.1,Saturday
2015-11-15,3199.85,Sunday
2015-11-16,280.55,Monday
2015-11-17,274.95,Tuesday
2015-11-18,787.5,Wednesday
2015-11-19,385.8,Thursday
2015-11-20,2230.2,Friday
2015-11-21,5216.5,Saturday
2015-11-22,4096.9,Sunday
2015-11-23,378.8,Monday
2015-11-24,424.0,Tuesday
2015-11-25,493.95,Wednesday
2015-11-26,454.1,Thursday
2015-11-27,2514.4,Friday
2015-11-28,6076.95,Saturday
2015-11-29,2861.85,Sunday
2015-11-30,311.5,Monday
2015-12-01,229.1,Tuesday
2015-12-02,626.5,Wednesday
2015-12-03,643.8,Thursday
2015-12-04,2299.45,Friday
2015-12-05,4740.2,Saturday
2015-12-06,3802.75,Sunday
2015-12-07,4413.0,Monday
2015-12-08,3649.15,Tuesday
2015-12-09,392.1,Wednesday
2015-12-10,658.3,Thursday
2015-12-11,2808.95,Friday
2015-12-12,6219.55,Saturday
2015-12-13,4087.15,Sunday
2015-12-14,928.6,Monday
2015-12-15,588.1,Tuesday
2015-12-16,883.8,Wednesday
2015-12-17,1372.1,Thursday
2015-12-18,3658.76,Friday
2015-12-19,5235.95,Saturday
2015-12-20,3685.2,Sunday
2015-12-21,1643.55,Monday
2015-12-22,4187.68,Tuesday
2015-12-23,2956.65,Wednesday
2015-12-24,704.75,Thursday
2015-12-25,3917.65,Friday
2015-12-26,5713.95,Saturday
2015-12-27,4947.75,Sunday
2015-12-28,4757.3,Monday
2015-12-29,4375.0,Tuesday
2015-12-30,3938.0,Wednesday
2015-12-31,1022.45,Thursday
2016-01-01,3889.3,Friday
2016-01-02,8034.55,Saturday
2016-01-03,6146.1,Sunday
2016-01-04,4975.65,Monday
2016-01-05,1074.2,Tuesday
2016-01-06,3437.25,Wednesday
2016-01-07,2428.7,Thursday
2016-01-08,3009.35,Friday
2016-01-09,7009.65,Saturday
2016-01-10,4781.45,Sunday
2016-01-11,595.3,Monday
2016-01-12,338.45,Tuesday
2016-01-13,760.5,Wednesday
2016-01-14,755.75,Thursday
2016-01-15,2718.75,Friday
2016-01-16,7579.0,Saturday
2016-01-17,3914.8,Sunday
2016-01-18,447.8,Monday
2016-01-19,489.5,Tuesday
2016-01-20,796.6,Wednesday
2016-01-21,516.8,Thursday
2016-01-22,3346.1,Friday
2016-01-23,6972.6,Saturday
2016-01-24,4176.0,Sunday
2016-01-25,716.6,Monday
2016-01-26,914.0,Tuesday
2016-01-27,638.2,Wednesday
2016-01-28,595.55,Thursday
