Month,bolera: (Community of Madrid)
2015-10,53
2015-11,47
2015-12,51
2016-01,87
2016-02,49
2016-03,68
2016-04,43
2016-05,40
2016-06,29
2016-07,34
2016-08,47
2016-09,48
2016-10,63
2016-11,46
2016-12,52
2017-01,69
2017-02,77
2017-03,56
2017-04,70
2017-05,48
2017-06,39
2017-07,52
2017-08,63
2017-09,45
2017-10,74
2017-11,57
2017-12,55
2018-01,72
2018-02,55
2018-03,100
2018-04,57
2018-05,35
2018-06,58
2018-07,56
2018-08,51
2018-09,45
2018-10,62
2018-11,70
2018-12,84
2019-01,95
2019-02,71
2019-03,79
2019-04,83
2019-05,53
2019-06,48
2019-07,70
2019-08,65
2019-09,61
2019-10,43
2019-11,68
2019-12,83
2020-01,87
2020-02,98
2020-03,24
2020-04,4
2020-05,7
2020-06,24
2020-07,39
2020-08,79
2020-09,52
2020-10,46
2020-11,43
2020-12,72
2021-01,56
2021-02,46
2021-03,72
2021-04,81
2021-05,62
