Month,minigolf: (Community of Madrid)
2015-10,33
2015-11,14
2015-12,22
2016-01,19
2016-02,49
2016-03,59
2016-04,28
2016-05,19
2016-06,42
2016-07,38
2016-08,89
2016-09,34
2016-10,32
2016-11,42
2016-12,76
2017-01,98
2017-02,52
2017-03,9
2017-04,32
2017-05,39
2017-06,42
2017-07,45
2017-08,62
2017-09,51
2017-10,28
2017-11,19
2017-12,86
2018-01,28
2018-02,10
2018-03,60
2018-04,48
2018-05,19
2018-06,30
2018-07,44
2018-08,100
2018-09,39
2018-10,9
2018-11,44
2018-12,0
2019-01,53
2019-02,57
2019-03,37
2019-04,56
2019-05,9
2019-06,27
2019-07,50
2019-08,85
2019-09,27
2019-10,8
2019-11,25
2019-12,26
2020-01,24
2020-02,0
2020-03,37
2020-04,8
2020-05,7
2020-06,8
2020-07,10
2020-08,23
2020-09,69
2020-10,26
2020-11,35
2020-12,36
2021-01,9
2021-02,29
2021-03,96
2021-04,53
2021-05,61
