Month,Miniature golf: (Community of Madrid)
2015-10,33
2015-11,25
2015-12,31
2016-01,27
2016-02,35
2016-03,35
2016-04,54
2016-05,62
2016-06,60
2016-07,36
2016-08,96
2016-09,24
2016-10,61
2016-11,45
2016-12,38
2017-01,56
2017-02,22
2017-03,27
2017-04,30
2017-05,21
2017-06,68
2017-07,49
2017-08,62
2017-09,36
2017-10,33
2017-11,21
2017-12,23
2018-01,27
2018-02,52
2018-03,43
2018-04,21
2018-05,27
2018-06,50
2018-07,31
2018-08,89
2018-09,42
2018-10,33
2018-11,25
2018-12,27
2019-01,38
2019-02,20
2019-03,72
2019-04,47
2019-05,43
2019-06,52
2019-07,50
2019-08,70
2019-09,32
2019-10,35
2019-11,24
2019-12,38
2020-01,28
2020-02,54
2020-03,32
2020-04,16
2020-05,26
2020-06,22
2020-07,21
2020-08,57
2020-09,62
2020-10,25
2020-11,25
2020-12,58
2021-01,31
2021-02,41
2021-03,100
2021-04,70
2021-05,43
